Region,ID,FIPS,Latitude,Longitude,LCPx,LCPy,UHII, DegHourDay 
SoCAB_East,5383,6071002035,34.1202,-117.5627,266721.9,-308321.5,32703.6, 179.7 
SoCAB_East,5384,6071002036,34.1119,-117.5607,266939,-309224.6,31424.3, 172.7 
SoCAB_East,5385,6071002037,34.1224,-117.5016,272263.3,-307877.4,33342.5, 183.2 
SoCAB_East,5386,6071002038,34.1139,-117.4955,272844,-308781.7,32951.1, 181.1 
SoCAB_East,5387,6071002101,34.0988,-117.6243,261214.6,-310860.5,30291.1, 166.4 
SoCAB_East,5388,6071002103,34.103,-117.608,262675.4,-310346.8,30562.1, 167.9 
SoCAB_East,5389,6071002105,34.0979,-117.6046,263009.1,-310894.2,29908.6, 164.3 
SoCAB_East,5390,6071002107,34.1007,-117.5866,264630,-310535.3,29874.4, 164.1 
SoCAB_East,5391,6071002109,34.0725,-117.5692,266321.4,-313551.4,27253.9, 149.7 
SoCAB_East,5392,6071002110,34.0908,-117.5668,266469.5,-311543.2,28858.5, 158.6 
SoCAB_East,5393,6071002204,34.0736,-117.5078,271896.8,-313224.6,28476.6, 156.5 
SoCAB_East,5394,6071002206,34.0247,-117.5845,265127,-318824.8,24177.2, 132.8 
SoCAB_East,5395,6071002207,34.0932,-117.5314,269668.5,-311166.7,29740.7, 163.4 
SoCAB_East,5396,6071002301,34.1251,-117.4427,277595.3,-307380.3,34288, 188.4 
SoCAB_East,5397,6071002304,34.1357,-117.4712,274959.7,-306324.1,35359.2, 194.3 
SoCAB_East,5398,6071002305,34.1139,-117.4711,275058.8,-308697.3,33469.7, 183.9 
SoCAB_East,5399,6071002306,34.1282,-117.4156,280044.6,-306951.9,34610.7, 190.2 
SoCAB_East,5400,6071002307,34.1177,-117.4163,280024.8,-308101.4,34149.4, 187.6 
SoCAB_East,5401,6071002401,34.0956,-117.48,274328.2,-310728.3,32422.9, 178.1 
SoCAB_East,5402,6071002402,34.0957,-117.4624,275927.3,-310658.7,32889.2, 180.7 
SoCAB_East,5403,6071002501,34.0743,-117.4772,274671.8,-313042,30477.8, 167.5 
SoCAB_East,5404,6071002502,34.0775,-117.4625,275997.2,-312639.7,31222.1, 171.6 
SoCAB_East,5405,6071002601,34.0547,-117.4506,277171.4,-315091.5,28873.4, 158.6 
SoCAB_East,5406,6071002602,34.0427,-117.4982,272892.6,-316563.6,26388.4, 145.0 
SoCAB_East,5407,6071002604,34.0359,-117.4929,273400.7,-317291.6,26236.2, 144.2 
SoCAB_East,5408,6071002606,34.0423,-117.4767,274852.9,-316535.6,26704, 146.7 
SoCAB_East,5409,6071002607,34.0404,-117.4514,277157.5,-316652,27102.6, 148.9 
SoCAB_East,5410,6071002703,34.1652,-117.4257,278970.4,-302949.4,38124.6, 209.5 
SoCAB_East,5411,6071002704,34.1528,-117.4302,278609,-304314,36768.2, 202.0 
SoCAB_East,5412,6071002705,34.1441,-117.3931,282015.3,-305138.8,35458.3, 194.8 
SoCAB_East,5413,6071002706,34.181,-117.3936,281809.8,-301113,38958.4, 214.1 
SoCAB_East,5414,6071002801,34.1103,-117.4447,277474.7,-309008.3,33775.2, 185.6 
SoCAB_East,5415,6071002803,34.103,-117.4469,277303.4,-309810.3,33526.3, 184.2 
SoCAB_East,5416,6071002804,34.0957,-117.4469,277335.3,-310601.6,33262.4, 182.8 
SoCAB_East,5417,6071002901,34.1049,-117.4304,278799.6,-309547.4,33778.5, 185.6 
SoCAB_East,5418,6071002902,34.1031,-117.4227,279499.6,-309714.6,33823.8, 185.8 
SoCAB_East,5419,6071003000,34.0994,-117.4358,278328.6,-310162.1,33583.8, 184.5 
SoCAB_East,5420,6071003101,34.0848,-117.4491,277184.3,-311799.9,32252.7, 177.2 
SoCAB_East,5421,6071003102,34.0849,-117.4401,278001.2,-311763.5,32463.5, 178.4 
SoCAB_East,5422,6071003200,34.0849,-117.427,279187.6,-311713.9,32733.3, 179.9 
SoCAB_East,5423,6071003301,34.0723,-117.4448,277623,-313148,31279.5, 171.9 
SoCAB_East,5424,6071003302,34.0726,-117.4227,279626.5,-313041.7,31859.9, 175.1 
SoCAB_East,5425,6071003401,34.0995,-117.414,280307.3,-310076.6,33861.9, 186.1 
SoCAB_East,5426,6071003403,34.0837,-117.4082,280902,-311779.4,32768.3, 180.0 
SoCAB_East,5427,6071003404,34.1083,-117.405,281083,-309083,33838, 185.9 
SoCAB_East,5428,6071003405,34.0975,-117.4055,281082.6,-310257.8,33583.5, 184.5 
SoCAB_East,5429,6071003503,34.125,-117.3923,282169.2,-307213.2,34202.4, 187.9 
SoCAB_East,5430,6071003505,34.1195,-117.3758,283684.3,-307752.9,33694.9, 185.1 
SoCAB_East,5431,6071003506,34.1294,-117.3779,283458.6,-306688.4,34319.7, 188.6 
SoCAB_East,5432,6071003507,34.1104,-117.39,282436.3,-308800.5,33498.2, 184.1 
SoCAB_East,5433,6071003509,34.1032,-117.3776,283591.8,-309546.3,32781.1, 180.1 
SoCAB_East,5434,6071003510,34.0995,-117.3922,282285.8,-309998.1,33105.2, 181.9 
SoCAB_East,5435,6071003603,34.0887,-117.3923,282327.2,-311182.2,32496.3, 178.6 
SoCAB_East,5436,6071003605,34.0814,-117.3921,282369.1,-311977.8,32004.2, 175.8 
SoCAB_East,5437,6071003606,34.073,-117.3966,282002.4,-312906.2,31594.7, 173.6 
SoCAB_East,5438,6071003607,34.0887,-117.3711,284245.3,-311101.1,31855.5, 175.0 
SoCAB_East,5439,6071003609,34.0768,-117.3769,283772.7,-312424.3,31245.4, 171.7 
SoCAB_East,5440,6071003611,34.0814,-117.3616,285141.7,-311865.3,31332.5, 172.2 
SoCAB_East,5441,6071003612,34.076,-117.359,285403.2,-312440.7,31024.5, 170.5 
SoCAB_East,5442,6071003700,34.0995,-117.3704,284268.9,-309919,32463.9, 178.4 
SoCAB_East,5443,6071003801,34.1286,-117.3642,284707.7,-306727.8,34324.3, 188.6 
SoCAB_East,5444,6071003803,34.1129,-117.3642,284768.8,-308432.8,33174.6, 182.3 
SoCAB_East,5445,6071003804,34.1244,-117.3517,285851.8,-307140.8,33918.6, 186.4 
SoCAB_East,5446,6071003900,34.1002,-117.3605,285159.9,-309804.7,32360.5, 177.8 
SoCAB_East,5447,6071004001,34.0558,-117.4033,281461.2,-314809.1,30040.8, 165.1 
SoCAB_East,5448,6071004003,34.0437,-117.3867,283018.4,-316066.6,29000.7, 159.3 
SoCAB_East,5449,6071004004,34.0464,-117.3574,285672.5,-315668.1,29735.8, 163.4 
SoCAB_East,5450,6071004101,34.1657,-117.3477,286037.6,-302620.8,38271.8, 210.3 
SoCAB_East,5451,6071004103,34.1411,-117.3316,287611.6,-305247.1,36586.6, 201.0 
SoCAB_East,5452,6071004104,34.1507,-117.3447,286382.4,-304246.7,37192.1, 204.4 
SoCAB_East,5453,6071004201,34.128,-117.3317,287656.1,-306674.8,35183.4, 193.3 
SoCAB_East,5454,6071004202,34.126,-117.3182,288888.9,-306845.2,35844.6, 196.9 
SoCAB_East,5455,6071004301,34.1115,-117.346,286426.1,-308529.2,32863.9, 180.6 
SoCAB_East,5456,6071004302,34.114,-117.331,287777.7,-308193.6,34070.8, 187.2 
SoCAB_East,5457,6071004401,34.0942,-117.3529,285876.2,-310441.8,31867.2, 175.1 
SoCAB_East,5458,6071004403,34.0928,-117.3409,286970.8,-310543.4,32083.8, 176.3 
SoCAB_East,5459,6071004404,34.1014,-117.342,286836.7,-309614.3,32498.2, 178.6 
SoCAB_East,5460,6071004503,34.2202,-117.3874,282206.7,-296808.6,43455.4, 238.8 
SoCAB_East,5461,6071004504,34.1942,-117.3429,286349.1,-299485.1,41433.8, 227.7 
SoCAB_East,5462,6071004505,34.172,-117.2853,291676.5,-301707.5,40467.1, 222.3 
SoCAB_East,5463,6071004507,34.169,-117.3018,290185.7,-302093.6,39993.8, 219.7 
SoCAB_East,5464,6071004509,34.1771,-117.3025,290092.1,-301205.1,40816, 224.3 
SoCAB_East,5465,6071004510,34.1856,-117.3195,288513.4,-300345.9,41272, 226.8 
SoCAB_East,5466,6071004601,34.1673,-117.3293,287704.8,-302371.5,39085.9, 214.8 
SoCAB_East,5467,6071004603,34.1566,-117.3081,289672,-303464.8,38736.9, 212.8 
SoCAB_East,5468,6071004604,34.142,-117.3081,289734.3,-305063.1,37466.2, 205.9 
SoCAB_East,5469,6071004700,34.1245,-117.3086,289762.4,-306966.1,36237.6, 199.1 
SoCAB_East,5470,6071004800,34.112,-117.3082,289854.2,-308330.5,35456, 194.8 
SoCAB_East,5471,6071004900,34.1004,-117.3167,289133.3,-309631.8,34369.4, 188.8 
